------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:16:02 (uptime: 0d, 00h 00m 17s)
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4980928
tcp.reassembly_memuse                         | Total                     | 925696
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:16:34 (uptime: 0d, 00h 00m 49s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1453
capture.afpacket.polls                        | Total                     | 4222
capture.afpacket.poll_timeout                 | Total                     | 2906
capture.afpacket.poll_data                    | Total                     | 1316
decoder.pkts                                  | Total                     | 1454
decoder.bytes                                 | Total                     | 160001
decoder.ipv4                                  | Total                     | 1386
decoder.ethernet                              | Total                     | 1454
decoder.arp                                   | Total                     | 6
decoder.unknown_ethertype                     | Total                     | 62
decoder.tcp                                   | Total                     | 1355
tcp.syn                                       | Total                     | 10
tcp.synack                                    | Total                     | 2
tcp.rst                                       | Total                     | 4
decoder.udp                                   | Total                     | 27
decoder.avg_pkt_size                          | Total                     | 110
decoder.max_pkt_size                          | Total                     | 2866
tcp.active_sessions                           | Total                     | 3
flow.total                                    | Total                     | 10
flow.active                                   | Total                     | 10
flow.tcp                                      | Total                     | 4
flow.udp                                      | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
decoder.event.ipv4.opt_pad_required           | Total                     | 4
tcp.sessions                                  | Total                     | 3
tcp.ssn_from_pool                             | Total                     | 3
tcp.segment_from_pool                         | Total                     | 13
app_layer.flow.tls                            | Total                     | 2
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.failed_udp                     | Total                     | 5
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9500
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 11
flow.mgr.flows_notimeout                      | Total                     | 11
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4980960
tcp.reassembly_memuse                         | Total                     | 933888
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:16:42 (uptime: 0d, 00h 00m 57s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1767
capture.afpacket.polls                        | Total                     | 4973
capture.afpacket.poll_timeout                 | Total                     | 3348
capture.afpacket.poll_data                    | Total                     | 1625
decoder.pkts                                  | Total                     | 1774
decoder.bytes                                 | Total                     | 195299
decoder.ipv4                                  | Total                     | 1697
decoder.ethernet                              | Total                     | 1774
decoder.arp                                   | Total                     | 6
decoder.unknown_ethertype                     | Total                     | 71
decoder.tcp                                   | Total                     | 1661
tcp.syn                                       | Total                     | 12
tcp.synack                                    | Total                     | 3
tcp.rst                                       | Total                     | 6
decoder.udp                                   | Total                     | 31
decoder.avg_pkt_size                          | Total                     | 110
decoder.max_pkt_size                          | Total                     | 2866
tcp.active_sessions                           | Total                     | 4
flow.total                                    | Total                     | 11
flow.active                                   | Total                     | 11
flow.tcp                                      | Total                     | 5
flow.udp                                      | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
decoder.event.ipv4.opt_pad_required           | Total                     | 5
tcp.sessions                                  | Total                     | 4
tcp.ssn_from_pool                             | Total                     | 4
tcp.segment_from_pool                         | Total                     | 18
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.failed_udp                     | Total                     | 5
flow.mgr.full_hash_pass                       | Total                     | 4
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9500
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 15
flow.mgr.flows_notimeout                      | Total                     | 15
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
